generator,synth_years,horizonte,n_train,pct_synth,mse,mae,directional_accuracy
solo_reales,0.0,30,1045,0.0,7.5451443990459666e-06,0.0022599608637392,0.4659574468085106
gan,1.0,30,1355,0.2287822878228782,7.335315331147285e-06,0.0022115290630608,0.5370212765957447
gaussian,1.0,30,1355,0.2287822878228782,7.298002401512349e-06,0.0022023152559995,0.5693617021276596
noise,1.0,30,1355,0.2287822878228782,7.322021701838821e-06,0.0022070878185331,0.5548936170212766
rbig,1.0,30,1355,0.2287822878228782,7.324540547415381e-06,0.0022092568688094,0.5693617021276596
gan,2.0,30,1605,0.3489096573208722,7.283719241968356e-06,0.0021965752821415,0.5770212765957446
gaussian,2.0,30,1605,0.3489096573208722,7.314744834729936e-06,0.002203069627285,0.5770212765957446
noise,2.0,30,1605,0.3489096573208722,7.291856945812469e-06,0.0021975331474095,0.5770212765957446
rbig,2.0,30,1605,0.3489096573208722,7.311420176847605e-06,0.0022009967360645,0.5646808510638298
gan,5.0,30,2362,0.5575783234546994,7.263651696121087e-06,0.0022046819794923,0.5625531914893617
gaussian,5.0,30,2362,0.5575783234546994,7.259101494128117e-06,0.0022037387825548,0.5625531914893617
noise,5.0,30,2362,0.5575783234546994,7.257509878400015e-06,0.0022025327198207,0.5625531914893617
rbig,5.0,30,2362,0.5575783234546994,7.257461675180821e-06,0.0022042749915271,0.556595744680851
gan,10.0,30,3620,0.7113259668508287,7.265030944836326e-06,0.0021874404046684,0.5931914893617021
gaussian,10.0,30,3620,0.7113259668508287,7.256823664647527e-06,0.0021864620503038,0.5931914893617021
noise,10.0,30,3620,0.7113259668508287,7.242524588946253e-06,0.0021832454949617,0.5931914893617021
rbig,10.0,30,3620,0.7113259668508287,7.230071332742227e-06,0.002180965617299,0.5931914893617021
gan,24.0,30,7033,0.8514147589933172,7.269338311743923e-06,0.0021863223519176,0.585531914893617
gaussian,24.0,30,7033,0.8514147589933172,7.26264761397033e-06,0.0021848834585398,0.585531914893617
noise,24.0,30,7033,0.8514147589933172,7.277825261553517e-06,0.0021870697382837,0.585531914893617
rbig,24.0,30,7033,0.8514147589933172,7.257136530824937e-06,0.0021855565719306,0.585531914893617
