ticker,n_bars,first,last
BAC,114925,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
WFC,114927,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
JPM,114928,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
C,114928,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
HBAN,114926,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
USB,114922,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
TFC,114928,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
KEY,114925,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
RF,114926,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FITB,114929,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
VLY,114928,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FHN,114929,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CFG,114917,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FLG,36145,2024-10-28 13:30:00+00:00,2026-08-28 20:00:00+00:00
PNC,114928,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
ONB,114926,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FNB,114927,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
COLB,114924,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
TFSL,114897,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
EBC,114929,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
MCHB,71590,2021-01-14 16:40:00+00:00,2026-08-28 20:00:00+00:00
HOMB,114927,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FRCB,99277,2020-11-02 14:30:00+00:00,2026-07-17 20:00:00+00:00
FULT,114930,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
ASB,114928,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
WBS,114921,2020-11-02 14:30:00+00:00,2026-08-28 19:55:00+00:00
BANC,114926,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
MTB,114922,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
ZION,114922,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
NWBI,114915,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
SFNC,114929,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FFIN,114898,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
AUB,114927,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
UBSI,114924,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
EWBC,114925,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CVBF,114915,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CBSH,114926,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CFFN,114912,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
PFS,114916,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
GBCI,114924,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
HOPE,114914,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FHB,114927,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
UCB,40719,2024-08-06 13:30:00+00:00,2026-08-28 20:00:00+00:00
PNBK,114252,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
OZK,114926,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
WAL,114927,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CLBK,114684,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FCF,114922,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FIBK,114926,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
SSB,114915,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FFBC,114886,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
SBCF,114908,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
WSBC,114903,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
RNST,114913,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
PB,114921,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
BRBS,112163,2020-12-16 14:45:00+00:00,2026-08-28 20:00:00+00:00
BUSE,114870,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
BBT,19635,2025-09-02 13:30:00+00:00,2026-08-28 20:00:00+00:00
HWC,114929,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
TOWN,114874,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
PNFP,114929,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
WAFD,114906,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
UMBF,114875,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
BKU,114925,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
ABCB,114880,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CATY,114828,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
WTFC,114895,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
KRNY,114874,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
CFR,114891,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
BOKF,114788,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
SBNY,99099,2020-11-02 14:30:00+00:00,2026-01-16 21:00:00+00:00
IBOC,114729,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
HTH,114881,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
TRMK,114778,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FRME,114864,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
OCFC,114891,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
AX,114852,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
WSFS,114826,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
SFBS,114833,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
FBK,114886,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
OSBC,114893,2020-11-02 14:30:00+00:00,2026-08-28 20:00:00+00:00
