ticker,first_date,last_date,n_obs,pct_nan
BAC,1990-01-02,2026-05-29,9169,0.0
WFC,1990-01-02,2026-05-29,9169,0.0
JPM,1990-01-02,2026-05-29,9169,0.0
C,1990-01-02,2026-05-29,9169,0.0
HBAN,1990-01-02,2026-05-29,9169,0.0
USB,1990-01-02,2026-05-29,9169,0.0
TFC,1990-01-02,2026-05-29,9168,0.00010906314756242708
KEY,1990-01-02,2026-05-29,9169,0.0
RF,1990-01-02,2026-05-29,9169,0.0
FITB,1990-01-02,2026-05-29,9169,0.0
VLY,1990-01-02,2026-05-29,9133,0.003926273312247819
FHN,1990-01-02,2026-05-29,9168,0.00010906314756242708
PNC,1990-01-02,2026-05-29,9169,0.0
WAFD,1990-01-02,2026-05-29,9169,0.0
FNB,1990-01-02,2026-05-29,9036,0.014505398625804355
FULT,1990-01-02,2026-05-29,9149,0.0021812629512487636
ASB,1990-01-02,2026-05-29,9131,0.004144399607372673
WBS,1990-01-02,2026-05-29,9074,0.010360999018431682
MTB,1990-01-02,2026-05-29,9109,0.006543788853746291
ZION,1990-01-02,2026-05-29,9133,0.003926273312247819
BOH,1990-01-02,2026-05-29,9169,0.0
UBSI,1990-01-02,2026-05-29,8996,0.018867924528301883
CVBF,1990-01-02,2026-05-29,8828,0.03719053331879163
CBSH,1990-01-02,2026-05-29,9165,0.0004362525902497083
GBCI,1990-01-02,2026-05-29,8853,0.03446395462973062
