,generator,pct_objetivo,horizonte,n_train,pct_synth,mse,mae,directional_accuracy
0,solo_reales,0.0,1,1045,0.0,0.00024972987012,0.011763866059482,0.52
1,gan,0.25,1,1393,0.2498205312275664,0.0002501477429177,0.0117849772796034,0.5049180327868853
2,gaussian,0.25,1,1393,0.2498205312275664,0.0002501213457435,0.0117843504995107,0.5095081967213114
3,noise,0.25,1,1393,0.2498205312275664,0.000250134471571,0.0117848133668303,0.5049180327868853
4,rbig,0.25,1,1393,0.2498205312275664,0.0002501063572708,0.0117839565500617,0.5095081967213114
5,gan,0.5,1,2090,0.5,0.0002496539091225,0.0117707634344697,0.5222950819672131
6,gaussian,0.5,1,2090,0.5,0.0002496386296115,0.0117716155946254,0.52
7,noise,0.5,1,2090,0.5,0.0002496335073374,0.0117712980136275,0.5150819672131147
8,rbig,0.5,1,2090,0.5,0.0002496504457667,0.0117702092975378,0.519672131147541
9,gan,0.75,1,4180,0.75,0.0002495330991223,0.0117778265848755,0.5095081967213114
10,gaussian,0.75,1,4180,0.75,0.0002495683147571,0.0117774875834584,0.5095081967213114
11,noise,0.75,1,4180,0.75,0.000249532982707,0.0117774009704589,0.5095081967213114
12,rbig,0.75,1,4180,0.75,0.000249551347224,0.0117777278646826,0.5095081967213114
13,gan,0.9,1,7033,0.8514147589933172,0.0002496722736395,0.011777258478105,0.500655737704918
14,gaussian,0.9,1,7033,0.8514147589933172,0.0002496693341527,0.0117784515023231,0.5039344262295082
15,noise,0.9,1,7033,0.8514147589933172,0.0002496729139238,0.0117775639519095,0.500655737704918
16,rbig,0.9,1,7033,0.8514147589933172,0.000249691598583,0.0117808934301137,0.500655737704918
17,gan,1.0,1,5988,1.0,0.0002495392691344,0.0117604285478591,0.5272131147540984
18,gaussian,1.0,1,5988,1.0,0.0002495534718036,0.0117607126012444,0.5272131147540984
19,noise,1.0,1,5988,1.0,0.0002495769003871,0.0117595000192523,0.5272131147540984
20,rbig,1.0,1,5988,1.0,0.00024959014263,0.0117607833817601,0.5272131147540984
