,generator,synth_years,horizonte,n_train,pct_synth,mse,mae,directional_accuracy
0,solo_reales,0.0,1,1045,0.0,0.00024972987012,0.011763866059482,0.52
1,gan,1.0,1,1355,0.2287822878228782,0.0002499032998457,0.0117730246856808,0.5101639344262295
2,gaussian,1.0,1,1355,0.2287822878228782,0.0002498787653166,0.011772827245295,0.5101639344262295
3,noise,1.0,1,1355,0.2287822878228782,0.000249900156632,0.0117725133895874,0.5127868852459017
4,rbig,1.0,1,1355,0.2287822878228782,0.0002499336842447,0.0117740519344806,0.5101639344262295
5,gan,2.0,1,1605,0.3489096573208722,0.0002503660216461,0.0117988586425781,0.4898360655737705
6,gaussian,2.0,1,1605,0.3489096573208722,0.0002503837458789,0.011798633262515,0.4944262295081967
7,noise,2.0,1,1605,0.3489096573208722,0.0002503412251826,0.0117983529344201,0.4901639344262295
8,rbig,2.0,1,1605,0.3489096573208722,0.0002503882569726,0.011799375526607,0.4904918032786885
9,gan,5.0,1,2362,0.5575783234546994,0.0002495818480383,0.0117623964324593,0.5249180327868852
10,gaussian,5.0,1,2362,0.5575783234546994,0.0002495906664989,0.0117630427703261,0.520655737704918
11,noise,5.0,1,2362,0.5575783234546994,0.00024950603256,0.0117603503167629,0.5249180327868852
12,rbig,5.0,1,2362,0.5575783234546994,0.0002495110675226,0.011759671382606,0.5249180327868852
13,gan,10.0,1,3620,0.7113259668508287,0.0002495284425094,0.0117568718269467,0.5291803278688525
14,gaussian,10.0,1,3620,0.7113259668508287,0.0002495329244993,0.0117565039545297,0.5262295081967213
15,noise,10.0,1,3620,0.7113259668508287,0.0002495123480912,0.0117559963837265,0.5262295081967213
16,rbig,10.0,1,3620,0.7113259668508287,0.0002495088265277,0.0117567144334316,0.5262295081967213
17,gan,24.0,1,7033,0.8514147589933172,0.0002496722736395,0.011777258478105,0.500655737704918
18,gaussian,24.0,1,7033,0.8514147589933172,0.0002496693341527,0.0117784515023231,0.5039344262295082
19,noise,24.0,1,7033,0.8514147589933172,0.0002496729139238,0.0117775639519095,0.500655737704918
20,rbig,24.0,1,7033,0.8514147589933172,0.000249691598583,0.0117808934301137,0.500655737704918
