generator,synth_years,horizonte,n_train,pct_synth,mse,mae,directional_accuracy
solo_reales,0.0,7,1045,0.0,3.510805618134327e-05,0.0046982513740658,0.5562393162393162
gan,1.0,7,1355,0.2287822878228782,3.517052027746104e-05,0.004705742932856,0.5312820512820513
gaussian,1.0,7,1355,0.2287822878228782,3.518447920214385e-05,0.004706151317805,0.5364102564102564
noise,1.0,7,1355,0.2287822878228782,3.519624806358479e-05,0.0047063287347555,0.5261538461538462
rbig,1.0,7,1355,0.2287822878228782,3.515929711284116e-05,0.0047038863413035,0.5312820512820513
gan,2.0,7,1605,0.3489096573208722,3.5153108910890296e-05,0.0046999510377645,0.5388034188034188
gaussian,2.0,7,1605,0.3489096573208722,3.5106852010358125e-05,0.0046931589022278,0.5521367521367522
noise,2.0,7,1605,0.3489096573208722,3.508686859277077e-05,0.0046956394799053,0.543931623931624
rbig,2.0,7,1605,0.3489096573208722,3.509606176521629e-05,0.0046958890743553,0.5446153846153846
gan,5.0,7,2362,0.5575783234546994,3.500609454931691e-05,0.0046895067207515,0.556923076923077
gaussian,5.0,7,2362,0.5575783234546994,3.50152186001651e-05,0.0046895761042833,0.556923076923077
noise,5.0,7,2362,0.5575783234546994,3.502304753055796e-05,0.0046914890408515,0.556923076923077
rbig,5.0,7,2362,0.5575783234546994,3.500353705021553e-05,0.0046895761042833,0.556923076923077
gan,10.0,7,3620,0.7113259668508287,3.473626929917373e-05,0.0046597211621701,0.5695726495726495
gaussian,10.0,7,3620,0.7113259668508287,3.471148738753982e-05,0.0046585286036133,0.5695726495726495
noise,10.0,7,3620,0.7113259668508287,3.472724711173214e-05,0.004659186117351,0.5695726495726495
rbig,10.0,7,3620,0.7113259668508287,3.477066275081597e-05,0.0046643014065921,0.5695726495726495
gan,24.0,7,7033,0.8514147589933172,3.5286004276713356e-05,0.0047320914454758,0.4878632478632478
gaussian,24.0,7,7033,0.8514147589933172,3.527706576278433e-05,0.0047318832948803,0.4953846153846153
noise,24.0,7,7033,0.8514147589933172,3.524189014569856e-05,0.0047284271568059,0.4967521367521367
rbig,24.0,7,7033,0.8514147589933172,3.5263248719275e-05,0.0047301528975367,0.5066666666666667
