learning_rate,dropout,l2,val_mae,epocas
0.0003,0.3,0.0,0.0020140190608799458,187
0.001,0.0,0.0,0.0020215939730405807,138
0.001,0.3,0.0,0.0020422334782779217,152
0.001,0.0,0.001,0.0020443620160222054,181
0.001,0.5,0.0,0.002044428838416934,139
0.0003,0.5,0.0,0.0020458302460610867,125
0.001,0.5,0.001,0.0020462193060666323,184
0.001,0.5,0.0001,0.002046223497018218,203
0.001,0.3,0.001,0.0020470204763114452,194
0.001,0.3,0.0001,0.0020487431902438402,198
0.0003,0.3,0.001,0.002054667565971613,400
0.0003,0.5,0.001,0.0020551281049847603,400
0.0003,0.0,0.001,0.002055288990959525,400
0.0001,0.5,0.0,0.002057446399703622,127
0.0003,0.0,0.0,0.002058042213320732,124
0.0001,0.3,0.0,0.002064125845208764,126
0.0001,0.0,0.0,0.0021256946492940187,121
0.0003,0.5,0.0001,0.002148664789274335,331
0.0003,0.3,0.0001,0.002672022208571434,259
0.001,0.0,0.0001,0.0028495017904788256,122
0.0003,0.0,0.0001,0.0029866700060665607,400
0.0001,0.5,0.0001,0.003302390919998288,400
0.0001,0.3,0.0001,0.00338220177218318,400
0.0001,0.0,0.0001,0.004151180852204561,400
0.0001,0.5,0.001,0.008007300086319447,400
0.0001,0.3,0.001,0.008011879399418831,400
0.0001,0.0,0.001,0.008685983717441559,400
