generador,anios_sinteticos,n_train,pct_synth,mse,mae,directional_accuracy,vs_constante_pct
solo_reales,0,1082,0.0,7.580802503071027e-06,0.0022533510345965624,0.5617204301075269,1.5501448794822008
noise,1,1333,0.18829707426856715,7.4447275437705684e-06,0.0022216513752937317,0.5690322580645162,0.12155921066783068
gaussian,1,1333,0.18829707426856715,7.453621492459206e-06,0.002223104238510132,0.5548387096774193,0.187034348740102
rbig,1,1333,0.18829707426856715,7.440540684910957e-06,0.0022213344927877188,0.5548387096774193,0.10727849545687533
gan,1,1333,0.18829707426856715,7.4437180046516005e-06,0.0022218776866793633,0.5690322580645162,0.13175822255985756
noise,2,1583,0.31648768161718255,7.359692517638905e-06,0.0022200429812073708,0.5621505376344086,0.04907487512243799
gaussian,2,1583,0.31648768161718255,7.353082310146419e-06,0.002220405964180827,0.5621505376344086,0.06543316682991732
rbig,2,1583,0.31648768161718255,7.35404182705679e-06,0.0022203039843589067,0.5621505376344086,0.06083731579215211
gan,2,1583,0.31648768161718255,7.3557853284000885e-06,0.002221561037003994,0.5621505376344086,0.11748800015949072
noise,5,2340,0.5376068376068376,7.2848188210627995e-06,0.0022026144433766603,0.5931182795698925,-0.7363644614801054
gaussian,5,2340,0.5376068376068376,7.300271136045922e-06,0.002205599332228303,0.5931182795698925,-0.601846629735471
rbig,5,2340,0.5376068376068376,7.295740033441689e-06,0.002203970681875944,0.5931182795698925,-0.6752438398020636
gan,5,2340,0.5376068376068376,7.290173016372137e-06,0.0022035869769752026,0.5931182795698925,-0.6925359916519199
noise,10,3598,0.6992773763201778,7.678157999180257e-06,0.002217167057096958,0.5931182795698925,-0.08053232126677604
gaussian,10,3598,0.6992773763201778,7.675225788261741e-06,0.0022166394628584385,0.5931182795698925,-0.10430903006032842
rbig,10,3598,0.6992773763201778,7.663868018426001e-06,0.002215468790382147,0.5931182795698925,-0.15706688169933167
gan,10,3598,0.6992773763201778,7.700363312324043e-06,0.0022159854415804148,0.5931182795698925,-0.13378333500343903
noise,24,7011,0.8456710882898303,7.270443347806577e-06,0.00219309376552701,0.5931182795698925,-1.1654259792546642
gaussian,24,7011,0.8456710882898303,7.2603825174155645e-06,0.0021904874593019485,0.5931182795698925,-1.2828825009823894
rbig,24,7011,0.8456710882898303,7.267493401741376e-06,0.0021920418366789818,0.5931182795698925,-1.2128324974935298
gan,24,7011,0.8456710882898303,7.267203272931511e-06,0.0021919491700828075,0.5931182795698925,-1.2170086361077548
