family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.5,0.0001,0.0001,16,16,0.012489131341377894,0.012666639561454454,0.012499681984384855,182.0,223.0,1.0143012250319687,1.005999950733839,48441.0,0.00038577246695998776,111.9,,,,,,
cnn,0.4,0.01,5e-05,128,,0.6123430331548055,0.6123430331548055,0.6157019933064779,399.0,400.0,1.0,0.9945421992042712,8489.0,0.016159919762800377,159.0,16x32,32.0,True,5.0,,
rnn,0.6,0.01,0.001,16,,0.01152010913938284,0.011524433890978495,0.014275561707715193,50.333333333333336,91.33333333333333,1.0003754132877425,0.8069811480195727,14361.0,2.447899671624947e-06,89.8,,64.0,,,32,0.0
dense,0.3,0.01,0.001,64,128,0.011513087277611097,0.0115159439543883,0.014245525933802128,162.0,203.0,1.0002481522341855,0.8081896939294323,387353.0,3.50838612664558e-06,88.2,,,,,,
cnn,0.4,0.001,3e-05,64,,0.08495779087146123,0.08495779087146123,0.0877872034907341,399.0,400.0,1.0,0.967767669166777,21289.0,0.0008449162570685307,158.6,16x32x64,32.0,False,3.0,,
rnn,0.0,0.0001,0.0001,32,,0.011779258648554483,0.011779258648554483,0.014491920980314413,399.0,400.0,1.0,0.8128089413008227,3001.0,9.520948177424924e-05,330.4,,32.0,,,8,0.1
dense,0.3,0.0,3e-05,64,128x64,0.011661676379541555,0.011694484079877535,0.013580165803432465,65.33333333333333,106.33333333333333,1.002813643487489,0.8589364828134203,394009.0,1.1833996519973278e-05,43.9,,,,,,
cnn,0.2,0.0001,0.0003,64,,0.011516210623085499,0.011516676284372807,0.014245408587157726,396.0,400.0,1.000040422413769,0.808415576767206,25089.0,5.4305481616275435e-06,151.8,64,100.0,True,5.0,,
rnn,0.0,0.1,0.001,32,,0.011514086897174517,0.011517615678409735,0.014252942986786366,118.0,159.0,1.0003064795163985,0.8078392536645119,16449.0,3.7007813559516085e-06,151.6,,100.0,,,32,0.1
dense,0.5,0.001,0.0001,32,32,0.015363679267466068,0.015408868590990702,0.013312507731219133,397.6666666666667,400.0,1.0029275237308735,1.1543108733182765,96857.0,0.00016186088034695628,157.2,,,,,,
cnn,0.2,0.0,0.001,16,,0.011518001556396484,0.011759134319921335,0.014281399237612883,8.333333333333334,49.333333333333336,1.0209351740765358,0.8065042737213748,15977.0,6.043486810018573e-06,40.6,16x32x64,64.0,True,3.0,,
rnn,0.3,0.0001,5e-05,32,,0.01296380969385306,0.01296380969385306,0.015693599979082744,399.0,400.0,1.0,0.8260538257183593,4649.0,7.994275649934398e-05,348.7,,8.0,,,16,0.2
dense,0.6,1e-05,3e-05,128,8,0.011844342574477196,0.011845955004294714,0.014521289616823196,132.33333333333334,173.33333333333334,1.0001362660522934,0.815676415693756,24233.0,3.444155507917566e-05,40.3,,,,,,
cnn,0.3,0.0001,0.0001,32,,0.011723413442571958,0.011723413442571958,0.014447858246664206,399.0,400.0,1.0,0.8114290786016687,11721.0,1.1243484589271556e-05,114.2,32,8.0,True,7.0,,
rnn,0.1,0.001,3e-05,128,,0.14023172855377197,0.14023172855377197,0.1430255870024363,399.0,400.0,1.0,0.9804658319072308,16473.0,0.00034376055435488185,319.3,,64.0,,,32x16,0.1
dense,0.6,0.01,0.0005,64,16x8,0.011677950620651245,0.011677950620651245,0.01440929559369882,399.0,400.0,1.0,0.8104453418263722,48377.0,2.0699783629638626e-05,141.6,,,,,,
cnn,0.0,0.01,5e-05,32,,0.11537370830774307,0.11537370830774307,0.11835949867963791,399.0,400.0,1.0,0.974767205444532,3113.0,0.002390813302124133,156.7,16,16.0,True,3.0,,
rnn,0.3,0.1,0.0005,64,,0.011513640483220419,0.011515038087964058,0.014243473609288534,390.0,400.0,1.0001213835878289,0.8083449842567848,17985.0,3.4177910961325226e-06,299.5,,100.0,,,32x16,0.0
dense,0.0,0.1,3e-05,32,32,1.06889013449351,1.06889013449351,1.0731595754623413,399.0,400.0,1.0,0.9960206455832589,96857.0,0.022695104668146435,154.9,,,,,,
cnn,0.4,0.01,0.0005,64,,0.011513617200156053,0.011514458805322647,0.014243374578654766,379.0,400.0,1.000073098004971,0.8083489697048051,16825.0,3.262781521468956e-06,159.9,32x64,64.0,True,3.0,,
rnn,0.3,0.001,0.0001,128,,0.05327886218825976,0.05327886218825976,0.05607539167006811,399.0,400.0,1.0,0.950123576172134,5385.0,0.0007079617727436388,291.6,,8.0,,,16x8,0.3
dense,0.0,0.0001,3e-05,32,128x64,0.02872394708295663,0.02873367133239905,0.018121611326932907,398.6666666666667,400.0,1.0003347756130223,1.5851176469252684,394009.0,0.00031733673437423063,182.0,,,,,,
cnn,0.6,0.0001,5e-05,64,,0.016735835000872612,0.016735835000872612,0.019472264995177586,399.0,400.0,1.0,0.8594658502562161,14969.0,0.00013050096750077765,154.7,32,64.0,True,7.0,,
rnn,0.5,0.0,0.0003,16,,0.01150878487775723,0.011514950543642044,0.014428408506015936,7.0,48.0,1.0005357351105058,0.797706671626786,11113.0,1.135406489865375e-06,93.6,,8.0,,,32,0.2
dense,0.5,1e-05,0.0005,64,64x32,0.011746142680446306,0.011913402006030083,0.01253702895094951,271.6666666666667,312.6666666666667,1.014270858591737,0.9371196102645444,194969.0,0.00015405872534893057,119.2,,,,,,
cnn,0.4,0.01,0.0001,128,,0.4159796933333079,0.4159796933333079,0.41995003819465637,399.0,400.0,1.0,0.9905453146139424,32657.0,0.0033980900692420005,161.8,16x32x64,100.0,True,7.0,,
rnn,0.1,0.001,0.0005,64,,0.011518946227928003,0.011519706808030605,0.01424889825284481,396.3333333333333,400.0,1.0000660148454603,0.8084096081550555,4985.0,2.5141820654711698e-06,191.6,,16.0,,,16,0.0
