family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,overfit_ratio_mean,gap_ratio_mean,epochs_run_mean,n_params_mean,best_val_std_folds,best_val_worst_fold,n_folds_ok,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
dense,0.0,0.001,3e-05,16,16,0.022599275689572096,0.022604599595069885,1.0002811360134212,1.2924797840047797,400.0,48441.0,0.004409002049091075,0.027242399752140045,4,212.8,,,,,,
cnn,0.2,0.001,0.0001,32,,0.016181779326871037,0.016181779326871037,1.0,0.9483336089115666,400.0,68281.0,0.005171495527296033,0.02184203453361988,4,230.3,32x64,64.0,False,7.0,,
rnn,0.0,0.1,0.0001,16,,0.07071408885531127,0.07071422133594751,1.0000114309408448,0.961050930925684,396.25,5313.0,0.11282315396852925,0.23984135687351227,4,360.1,,100.0,,,8,0.0
dense,0.3,0.1,0.0005,16,16,0.012973913690075278,0.012976780533790588,1.0002409524254097,0.9410761719811889,288.0,48441.0,0.0026284121368810366,0.016898809000849724,4,144.0,,,,,,
cnn,0.5,0.0,0.0001,128,,0.012922409223392606,0.012974186334758997,1.004273924525585,0.9312249955518176,72.5,4633.0,0.002661558160415294,0.016910910606384277,4,38.7,8,100.0,True,3.0,,
rnn,0.0,0.0,0.001,32,,0.012918348656967282,0.013078988064080477,1.0135972706278047,0.9412799659653187,68.75,133209.0,0.002655622172072821,0.01689591072499752,4,306.9,,32.0,,,64x128,0.3
dense,0.4,0.0001,5e-05,128,8,0.015184009680524468,0.015200577676296234,1.0010554816398995,0.9679453953719496,320.75,24233.0,0.0027843443090623545,0.019244937226176262,4,144.6,,,,,,
cnn,0.4,0.001,0.0003,128,,0.02087068511173129,0.02087068511173129,1.0,0.958507605234542,400.0,2977.0,0.008454834698946326,0.032170601189136505,4,188.0,8x16,32.0,True,3.0,,
rnn,0.5,0.1,0.0003,16,,0.012974663404747844,0.012976461090147495,1.0001509518930936,0.9414751408493384,284.75,143681.0,0.002629360372851056,0.01690041273832321,4,1640.9,,100.0,,,64x128,0.3
dense,0.4,0.0001,0.0003,128,128,0.016015519620850682,0.016104330541566014,1.0049518298600477,1.865282207958354,390.0,387353.0,0.0027973609321218845,0.020060352981090546,4,165.4,,,,,,
cnn,0.6,0.0,0.0001,128,,0.012929813703522086,0.012969307135790586,1.0031537440123692,0.9291643678871659,62.5,199705.0,0.002659990538687977,0.016914330422878265,4,43.3,64x128x128,32.0,True,7.0,,
rnn,0.0,0.1,0.001,32,,0.012948263203725219,0.012954017147421837,1.0004723670280393,0.9398324970686824,229.75,4089.0,0.002641298197008633,0.016901344060897827,4,141.9,,64.0,,,8,0.0
dense,0.5,1e-05,0.0005,64,32x16,0.01313859224319458,0.013138627866283059,1.0000030772993869,0.942445858695269,400.0,96985.0,0.0026518058101218074,0.017087258398532867,4,167.9,,,,,,
cnn,0.0,0.0,0.0001,32,,0.013744679745286703,0.014586025150492787,1.0586058691066162,1.0211684855508834,52.5,97761.0,0.002751853826747647,0.017768574878573418,4,35.7,32x64,100.0,False,5.0,,
rnn,0.0,0.01,0.0003,128,,0.10830261651426554,0.10830261651426554,1.0,0.9772328979316744,400.0,4985.0,0.09895451071834263,0.2526349425315857,4,185.6,,16.0,,,16,0.0
dense,0.1,0.01,0.0001,128,8,0.082770642824471,0.082770642824471,1.0,0.9948604375881953,400.0,24233.0,0.019266310757866886,0.10768742859363556,4,155.3,,,,,,
cnn,0.3,0.1,0.0005,16,,0.01297453697770834,0.01297772885300219,1.0002412295383738,0.9410924761332634,263.75,6713.0,0.0026279887580314912,0.016898619011044502,4,144.3,32,32.0,True,3.0,,
rnn,0.5,0.001,0.0005,16,,0.012973325792700052,0.012977682054042816,1.0003632816293277,0.9409801557043238,215.25,5657.0,0.002628681580240278,0.01689840666949749,4,296.8,,32.0,,,16,0.2
dense,0.3,0.1,0.0001,64,128,0.5231098830699921,0.5231098830699921,1.0,0.9883113930931196,400.0,387353.0,0.47050749783660667,1.1672319173812866,4,180.6,,,,,,
cnn,0.6,0.001,3e-05,128,,0.12718763947486877,0.12718763947486877,1.0,0.9918664416918338,400.0,25089.0,0.020970936463020253,0.15277181565761566,4,176.7,64,100.0,True,5.0,,
rnn,0.2,0.001,3e-05,32,,0.04969761613756418,0.04969761613756418,1.0,0.9762839807954602,400.0,11113.0,0.017431363386512914,0.0698733776807785,4,281.7,,8.0,,,32,0.0
dense,0.0,0.0001,0.0005,128,16x8,0.015926425578072667,0.016322233946993947,1.0230999078610068,1.381174581867598,176.25,48377.0,0.003054422666124563,0.02046707645058632,4,75.5,,,,,,
cnn,0.4,1e-05,0.0003,32,,0.013977206079289317,0.014345395611599088,1.0255081026629318,1.0245900531431626,144.25,38521.0,0.0027141640767100283,0.01803063601255417,4,82.1,32x64,32.0,False,3.0,,
rnn,0.1,0.001,0.0003,32,,0.012993763666599989,0.012994211399927735,1.0000388443936035,0.9410767307143633,370.5,138137.0,0.002621081213864914,0.01690651662647724,4,627.1,,64.0,,,64x128,0.0
dense,0.5,0.0,5e-05,64,128,0.013688386185094714,0.013839568942785263,1.010922135385956,1.008643362605505,67.75,387353.0,0.0029704610904619237,0.01801183819770813,4,40.1,,,,,,
cnn,0.3,0.01,0.0005,16,,0.012974192388355732,0.01297681825235486,1.000224479598903,0.9410394404151308,171.5,92257.0,0.002627816074247604,0.01689797267317772,4,115.9,32x64,100.0,False,7.0,,
rnn,0.5,0.1,0.0003,64,,0.28917980566620827,0.28917980566620827,1.0,0.9670272740400758,400.0,5657.0,0.36897156918315754,0.8253905177116394,4,448.1,,16.0,,,16x8,0.3
dense,0.5,0.0,0.001,64,16,0.01295662741176784,0.012986818328499794,1.002394366674834,0.9394618878501113,50.5,48441.0,0.002629098316763148,0.01688956469297409,4,32.8,,,,,,
cnn,0.3,0.001,5e-05,128,,0.03521014004945755,0.03521014004945755,1.0,0.9759373715021433,400.0,4769.0,0.006123558272767586,0.04131029546260834,4,170.8,8,8.0,False,7.0,,
rnn,0.0,0.1,0.001,128,,0.025979802943766117,0.025980293517932296,1.0000422669496285,0.9671283699098507,400.0,30905.0,0.02519775470136391,0.06357754021883011,4,330.0,,16.0,,,64,0.3
dense,0.4,0.0,0.0005,64,128x64,0.01297774538397789,0.013379912124946713,1.0297274933619138,0.9991042701756837,62.0,394009.0,0.002765915145916117,0.01710003800690174,4,40.8,,,,,,
cnn,0.2,0.01,0.0005,128,,0.019794771913439035,0.019795448519289494,1.0000582859938476,0.9628364589492272,400.0,39057.0,0.012939515518828357,0.0388132706284523,4,186.2,16x32x64,100.0,False,7.0,,
rnn,0.2,0.1,0.0003,16,,0.014381513698026538,0.014383072732016444,1.0001181825769874,0.9508285835741779,389.0,5385.0,0.0033444562751998906,0.017624590545892715,4,1017.1,,8.0,,,16x8,0.2
dense,0.4,1e-05,5e-05,64,64x32,0.014945425558835268,0.01499809161759913,1.003340826836402,1.0114945065571121,140.75,194969.0,0.0026736279042373387,0.01894615963101387,4,74.5,,,,,,
cnn,0.2,0.001,3e-05,64,,0.0408757459372282,0.0408757459372282,1.0,0.9782743594339351,400.0,2577.0,0.005815656594182869,0.04631483182311058,4,179.4,8,16.0,True,5.0,,
rnn,0.1,1e-05,0.0003,32,,0.01329173264093697,0.013406113488599658,1.0088965558870795,0.9607841748516499,202.25,8513.0,0.002534783297643622,0.017051616683602333,4,146.6,,100.0,,,16,0.0
dense,0.3,0.01,3e-05,64,8,0.11150982789695263,0.11150982789695263,1.0,0.993029021160591,400.0,24233.0,0.02267040068806354,0.1400429606437683,4,169.9,,,,,,
cnn,0.3,0.0001,3e-05,64,,0.02104367082938552,0.02104367082938552,1.0,0.9610534492144326,400.0,9809.0,0.0035314637569076462,0.025566883385181427,4,186.2,16x32,100.0,True,3.0,,
rnn,0.6,0.01,0.0005,16,,0.012975412188097835,0.012976835947483778,1.0001236906054365,0.9410174862901786,314.25,2185.0,0.002628371798846597,0.016899337992072105,4,444.6,,8.0,,,8,0.3
dense,0.5,0.0,5e-05,16,128x64,0.013079305412247777,0.013317764038220048,1.0187312683374625,0.9675760131282009,64.5,394009.0,0.0026772617929648854,0.017069704830646515,4,55.3,,,,,,
cnn,0.0,0.01,0.0001,32,,0.05906543182209134,0.05906543182209134,1.0,0.9645778644468528,400.0,11721.0,0.042682264588021664,0.11599098891019821,4,201.0,32,8.0,True,7.0,,
rnn,0.3,1e-05,5e-05,32,,0.013520485954359174,0.013528106501325965,1.0005944302485048,0.937243786740048,315.5,11577.0,0.002650054636220927,0.017442461103200912,4,377.4,,16.0,,,32,0.1
dense,0.6,0.01,0.001,16,128,0.012969560688361526,0.01297944807447493,1.0007684710994855,0.9396806549262675,187.75,387353.0,0.0026301295886317164,0.01689787022769451,4,127.4,,,,,,
