family,sigma,relative,noise_dist,df,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,shrinkage_alpha,shrinkage_target,marginal,n_iters,grid_size,rotation
noise,0.0834,False,normal,0.0,0.3833847459482435,4.949461953396414,1.3048502505283164,1.0,7.090061186530705,0.001298991680625515,0.4,,,,,,,
gaussian,,,,,0.05177616814707131,0.22822062062990428,0.3351140899715813,1.0,0.9875407668541463,0.0019289117802013386,0.3,False,0.19616,diagonal,gaussian,,,
rbig,,,,,0.00018892983252455364,0.029115789084858422,0.17112447186428342,1.0,0.8756691495828464,0.00026718713149310124,5.2,,,,,20.0,300.0,pca
noise,0.06,True,normal,0.0,0.0,0.021699110858406777,0.3315964576976054,1.0,1.0313302591043245,0.0,0.3,,,,,,,
gaussian,,,,,0.004172109822444758,0.019161035467332915,0.484962474075022,1.0,0.9874076235013489,0.00017920392297686788,0.6,True,0.16606,identity,rank_gauss,,,
rbig,,,,,0.0001664618297362308,0.020588323407456935,0.14783976704882368,1.0,0.9126715504463478,4.0085217486036484e-05,15.4,,,,,60.0,600.0,pca
noise,0.12648,False,normal,0.0,0.38473800896054955,7.657082581233991,1.3311775729590032,1.0,10.574761927845998,0.0001347759445305044,0.3,,,,,,,
gaussian,,,,,0.00436023282780218,0.019526428246263123,0.2867382761652558,1.0,0.9890491432173929,0.0012322602678692966,0.7,False,,diagonal,rank_gauss,,,
rbig,,,,,0.0002418197563304747,0.03145815927453375,0.2625976421115621,1.0,0.8842253217397824,0.00034198477905231445,6.7,,,,,25.0,400.0,random
noise,0.01376,False,normal,0.0,0.18153003523585154,0.6159216254836226,0.669749249886733,1.0,1.6710484412353799,0.017002473927379934,0.3,,,,,,,
gaussian,,,,,0.011958481579610603,0.01890457154145729,1.1823559981184961,1.0,0.9908319684440026,0.0015886765599134893,0.6,True,0.82656,identity,rank_gauss,,,
rbig,,,,,0.0017119434753435359,0.06262756727370984,0.42872126079491146,1.0,0.8891378115503449,0.0006304720460577722,2.6,,,,,10.0,100.0,random
noise,0.01094,True,normal,0.0,5.782284425515094e-05,0.021120778972809326,0.3321890183805899,1.0,1.0296041160419762,8.177385056062167e-05,0.3,,,,,,,
gaussian,,,,,0.006534291552989235,0.01958815344615613,0.363862509361098,1.0,0.9881924189847417,0.0002527302190217058,0.5,True,0.07439,diagonal,rank_gauss,,,
noise,0.02094,False,student_t,4.0,0.23321257530986522,0.9147901137849707,0.8782340424251158,1.0,2.1735028407116688,0.004457688926192291,0.3,,,,,,,
gaussian,,,,,0.04558138932115474,0.22809381756532893,0.1861374102780261,1.0,0.9874555212582219,0.0049867160177045145,0.3,False,,identity,gaussian,,,
rbig,,,,,0.0006411836864642639,0.05017907105057828,0.18361149144139433,1.0,0.88277887254407,9.958548954910106e-05,19.5,,,,,80.0,100.0,pca
noise,0.16518,False,normal,0.0,0.384127285857533,10.091441620888283,1.3392454883517795,1.0,13.716351452005767,0.0022651812175971354,0.3,,,,,,,
gaussian,,,,,0.012023373815445881,0.018958712864545195,1.043684373666597,1.0,0.9903498304900974,0.0006371095649007831,0.5,False,0.6914,identity,rank_gauss,,,
rbig,,,,,0.0004541726535409185,0.03922169968274265,0.3610961144035141,1.0,0.9437618002643253,0.00035912096057535075,4.2,,,,,15.0,1000.0,random
noise,0.03298,True,student_t,4.0,0.0,0.021186597813393,0.33174536474777916,1.0,1.0301776806444898,0.0,0.3,,,,,,,
gaussian,,,,,0.1789752278197718,0.5548461790426571,1.126498614558551,1.0,1.3698644664644029,0.009832056475532992,0.3,True,0.80516,identity,gaussian,,,
rbig,,,,,0.00024136046945522072,0.01905711950312484,0.1500695012486556,1.0,0.921147869015043,0.0003413352493243103,16.4,,,,,60.0,1000.0,pca
noise,0.13498,True,student_t,10.0,0.000118113557936117,0.026208228727530078,0.33116928484706865,1.0,1.03819989940079,0.00016703779553339698,0.3,,,,,,,
gaussian,,,,,0.04951021105195763,0.2287592360549831,0.891452306432096,1.0,0.9877342860805539,0.0020507195340414546,0.3,True,0.6407,diagonal,gaussian,,,
rbig,,,,,0.0003668712160467269,0.023192600256084363,0.1621450575896675,1.0,0.9199480854009305,0.0005188342493775911,11.0,,,,,40.0,1000.0,pca
noise,0.02527,True,normal,0.0,4.908284453564171e-05,0.02117630891049569,0.332086909993579,1.0,1.0298639449014546,6.941362442215467e-05,0.3,,,,,,,
gaussian,,,,,0.18005756932552602,0.6190669917620373,1.3363215685219725,1.0,1.4200160177725003,0.0002695170914847141,0.3,False,0.98759,identity,gaussian,,,
noise,0.0135,True,normal,0.0,0.00021861020072017068,0.021125672398348463,0.33217551939142975,1.0,1.0296357207675901,0.0003091615107315699,0.3,,,,,,,
gaussian,,,,,0.006526931393579072,0.019143637498207723,0.5545725781572146,1.0,0.9873050433797694,0.0013266703032450249,0.6,True,0.22699,diagonal,rank_gauss,,,
rbig,,,,,0.000150252367779935,0.031080643006104375,0.1600297235456996,1.0,0.904201551431558,0.0002124889362930543,24.8,,,,,100.0,300.0,random
noise,0.17707,False,student_t,5.0,0.38520726021752716,10.018332420077602,1.3308462584247693,1.0,14.842367462664097,0.00046183659943989055,0.3,,,,,,,
gaussian,,,,,0.005869410293099175,0.019526997910610855,0.2869748701150576,1.0,0.9890366479842909,0.0010054898778317435,0.6,True,,identity,rank_gauss,,,
rbig,,,,,0.0001109040207760148,0.02752418160152336,0.18398085510922593,1.0,0.8962407276112778,0.00015684197030314763,10.3,,,,,40.0,600.0,random
noise,0.45231,False,normal,0.0,0.3835739654179685,28.165636131934768,1.3479901136102814,1.0,37.087692949518534,0.0003946108811590239,0.3,,,,,,,
gaussian,,,,,0.042999741202908726,0.22936630329774738,0.18624484566368207,1.0,0.9894509690810716,0.0057107906418615755,0.3,True,,identity,gaussian,,,
rbig,,,,,0.00019863186434959657,0.03725210969903252,0.20873214887489186,1.0,0.8474635962371513,1.4821420272378552e-06,7.5,,,,,30.0,100.0,random
noise,0.00558,False,normal,0.0,0.02629163721300576,0.16748172605942577,0.34618828401222634,1.0,1.1811251119026336,0.005675416273135242,0.3,,,,,,,
gaussian,,,,,0.05197315097020122,0.2288237163883763,1.016164173428675,1.0,0.9877947045380611,0.0013545253734629033,0.3,True,0.73673,diagonal,gaussian,,,
rbig,,,,,0.0014348431980470422,0.05537981166082112,0.21403252880313273,1.0,1.0301229805013863,0.001656714013701826,1.6,,,,,5.0,600.0,pca
noise,0.04709,False,normal,0.0,0.3720640040378136,2.6731579354085095,1.2132539306051309,1.0,4.185913172008725,0.0007067950170081673,0.3,,,,,,,
gaussian,,,,,0.007241996925386074,0.018982598980745426,0.7095822212600114,1.0,0.9878966450085632,0.0006351268977111021,0.6,True,0.36662,diagonal,rank_gauss,,,
rbig,,,,,0.001733649178465746,0.06296770745939309,0.450523305299674,1.0,0.9381223525635254,0.0007427856427680532,2.7,,,,,10.0,200.0,random
noise,0.00568,False,normal,0.0,0.02676053926732741,0.17215905664766928,0.3486545467698612,1.0,1.1859203722986509,0.0034309088147802392,0.3,,,,,,,
gaussian,,,,,0.011056818514757483,0.01890283990943116,1.203102121868084,1.0,0.9910041084564531,0.0029377930976778846,0.6,False,0.84778,diagonal,rank_gauss,,,
rbig,,,,,6.12052772293592e-05,0.021256775822852424,0.16845198734352118,1.0,0.9202082859254296,8.655733314656496e-05,21.4,,,,,80.0,1500.0,random
noise,0.06392,False,normal,0.0,0.3796581705106938,3.7270022589797978,1.2730587867900465,1.0,5.524985841717325,0.0004965013632641719,0.3,,,,,,,
gaussian,,,,,0.007156491861462222,0.01903769374913989,0.6417181317880345,1.0,0.9874571604710929,0.00011588380867803571,0.6,True,0.3051,diagonal,rank_gauss,,,
rbig,,,,,0.0012725277804865875,0.05523314354311272,0.16484173697556515,1.0,0.8966031276884804,0.00034901041966448347,24.5,,,,,100.0,100.0,pca
noise,0.12984,False,normal,0.0,0.38353609493161717,7.868389096503146,1.3321910493362121,1.0,10.84725017348907,0.00022143476561232013,0.3,,,,,,,
gaussian,,,,,0.04870252709397016,0.22831021562174436,0.4699826976544871,1.0,0.9875987255813189,0.005979044510381919,0.3,False,0.31005,diagonal,gaussian,,,
rbig,,,,,0.0,0.039518571106036564,0.24817019037360277,1.0,0.8430813094775695,0.0,6.3,,,,,25.0,100.0,random
noise,0.07519,True,student_t,3.0,0.00026893101057368085,0.02193295482220274,0.3310277970511678,1.0,1.0322616492631067,0.0003468561168954876,0.3,,,,,,,
rbig,,,,,3.0256064369238445e-05,0.03314480438803534,0.2148682892728,1.0,0.9560897624529241,4.278853657501037e-05,6.0,,,,,20.0,1500.0,random
noise,0.00704,True,normal,0.0,4.9632990396120125e-05,0.02111375584657589,0.3322055375500078,1.0,1.0295683568867693,7.019164815932666e-05,0.3,,,,,,,
gaussian,,,,,0.04723747739156231,0.22813238635370003,0.20707758585882113,1.0,0.987483740681616,0.0053906281210229215,0.3,False,0.05712,diagonal,gaussian,,,
rbig,,,,,7.933093656670165e-05,0.03950563503549692,0.19690888265778644,1.0,0.8526880975488422,0.00011219088640838916,10.1,,,,,40.0,100.0,random
noise,0.06086,True,student_t,4.0,9.044676039571264e-05,0.02166632973179598,0.3311086439852531,1.0,1.0315450297507445,0.00012791103522432655,0.3,,,,,,,
gaussian,,,,,0.00890241629907046,0.018850754102395763,0.8440649922466275,1.0,0.9885806778951711,0.001536215737571394,0.6,False,0.49103,identity,rank_gauss,,,
rbig,,,,,0.0,0.025534453841293415,0.15055040059392724,1.0,0.8932499502289241,0.0,16.0,,,,,60.0,300.0,pca
noise,0.04567,False,student_t,8.0,0.36586445612706153,2.477510479540098,1.2062449343436026,1.0,4.085092555368998,0.002436431476111204,0.3,,,,,,,
