family,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds
gan,8,800,64,64x64,16x8,0.0005,2,0.3117067427961767,0.6939595239734113,2.5155322521284993,1.0,0.319458258627249,,206.5
gan,48,800,64,32x64x32,32x16,0.0001,6,0.12089353038770134,0.44505222151803964,0.9180108204606657,1.0,0.7204558099156438,,576.2
gan,48,800,256,32x64x32,16x8,0.0005,3,0.2567866586870745,0.5678510384878226,1.616226445892843,1.0,0.43782058892652875,,327.8
gan,8,800,128,128x128,32x16,0.0001,3,0.1336076206715674,0.4839015198154598,1.2521637674621033,1.0,0.7251226680306019,,291.9
gan,48,2000,64,32x32,128x64,0.0001,5,0.005173412352627138,0.13324686753377687,0.18128909703929866,1.0,0.7688258589835241,,1250.9
gan,32,1500,256,128x128,128x64,0.0003,5,0.02834657555445763,0.2226480368462424,0.4864023212449037,1.0,0.7173439489661096,,943.4
gan,32,1200,256,128x128,64x64,0.0003,4,0.043727677901064466,0.22583324089970352,0.755832321793344,1.0,0.8044885480793665,,604.5
gan,16,2000,256,128x128,128x64,0.0001,5,0.03440514690035179,0.2810884680458041,0.5818274062394179,1.0,0.67486686124079,,1273.0
gan,48,1500,128,128x128,64x64,0.0003,5,0.011050374755107395,0.16636812192466682,0.6099720414112613,1.0,0.763655426270204,,911.3
gan,32,800,256,32x64x32,128x64,0.001,5,0.0025715164616867403,0.11688206163680467,0.5788566607525474,1.0,0.7570828011507039,,510.0
gan,48,2000,256,64x128x64,16x8,0.001,4,0.6140063347877311,1.3410139401539642,3.035728175370674,1.0,0.852491058986147,,1028.5
gan,8,1200,64,32x32,64x64,0.001,2,0.055231507607780506,0.2974891847250313,1.2207609993639679,1.0,0.78600126589528,,312.6
gan,32,800,64,32x32,64x32,0.0003,2,0.14874785687215342,0.5432382069632873,1.2974560454799717,1.0,0.6649254392467504,,204.9
gan,16,1200,256,32x32,64x64,0.0005,3,0.028806301107559662,0.18720978631994947,0.3477024618773164,1.0,0.8560109885999946,,473.8
gan,32,1200,256,32x32,128x64,0.0001,3,0.011712292054064655,0.1520170144474145,0.2600516513467791,1.0,0.7767967995435219,,470.5
gan,32,1200,128,64x64,64x32,0.001,2,0.09302963972364009,0.3450012842151606,1.004637036723418,1.0,1.0301908022097133,,317.3
gan,32,2000,128,16x32x16,64x32,0.001,4,0.046253576590412626,0.3292791898477556,1.11748106684383,1.0,0.8529945756844917,,996.3
gan,32,1200,64,64x64,64x64,0.001,2,0.036780524770953504,0.25304635127946645,0.9011419965827233,1.0,0.7031837747995937,,306.5
gan,32,800,128,128x128,32x16,0.0001,5,0.4418520665805666,0.9611904309429423,1.1500038527782588,1.0,0.6296061323257514,,476.8
gan,16,1500,64,32x64x32,32x16,0.0003,6,0.09565942212958733,0.3954145725425322,0.4463777839170299,1.0,0.8895722533254024,,1047.3
gan,16,800,64,16x32x16,64x64,0.001,4,0.02429385004447049,0.18243719908181003,0.48929355750952186,1.0,0.7882252668686908,,385.0
gan,8,1500,64,32x32,64x64,0.0001,3,0.018653139721770295,0.17683986941566648,0.48572143052737327,1.0,0.7944937325485675,,546.2
gan,16,800,64,32x64x32,64x64,0.001,2,0.08693615694475598,0.351687318918554,1.6871712530614154,1.0,0.8642499509180592,,214.7
gan,48,800,256,32x64x32,16x8,0.0001,6,0.06473820674199227,0.3172422189087335,0.9924230832547195,1.0,0.6862528412535305,,605.5
gan,8,1200,64,16x32x16,16x8,0.0003,6,0.03221293857896135,0.21179212558766145,0.858428759744034,1.0,0.8897453096182604,,817.2
