family,n_iters,grid_size,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g,sigma,relative,noise_dist,df,shrinkage,shrinkage_alpha,shrinkage_target,marginal,rotation
rbig,40.0,300.0,0.0,0.0278704027765178,0.4179866568227557,1.0,0.9701299699808345,0.0,3.6,,,,,,,,,,,,,,,,
gan,,,0.9162600868008904,2.4338739650919146,2.6800864663448825,1.0,0.1684779523204944,0.5469498085895201,287.5,32.0,500.0,64.0,256x512x1024,32x16,5e-05,2.0,,,,,,,,,
rbig,10.0,600.0,0.0010289941689383,0.0778311389749598,0.6664893427687671,1.0,1.1009395530611914,0.0008145906085916,1.5,,,,,,,,,,,,,,,,
gan,,,0.0984717531540747,0.4961521332360983,1.1258212024198015,1.0,0.9057450639092508,0.0447073821378312,393.1,8.0,500.0,64.0,64x64,64x64,5e-05,3.0,,,,,,,,,
rbig,10.0,1000.0,0.0008792832157003,0.0816138255010448,0.6684929865372866,1.0,1.134063498987134,0.0001084028147053,1.5,,,,,,,,,,,,,,,,
noise,,,0.3057779579322104,1.4623677389366103,1.121533822084622,1.0,2.972325878537853,,0.3,,,,,,,,0.02866,False,student_t,4.0,,,,,
gaussian,,,0.0567882470468433,0.2603626459664804,0.4787867061574835,1.0,1.066496169444796,,0.3,,,,,,,,,,,,True,0.20769,diagonal,gaussian,
rbig,5.0,300.0,0.0018810886273838,0.0767772347415391,0.6148357832329834,1.0,1.0436146480361066,,0.5,,,,,,,,,,,,,,,,random
gan,,,0.184938953295072,0.5647055660481327,1.5657544379407058,1.0,1.391445799552536,,215.3,32.0,1200.0,128.0,64x64,64x64,2e-05,1.0,,,,,,,,,
noise,,,0.0,0.0284324953774641,0.3211199945184962,1.0,1.0642503828846868,,0.4,,,,,,,,0.04955,True,normal,0.0,,,,,
gaussian,,,0.058912391712512,0.2597334312632194,0.4092635838241482,1.0,1.0646125848642949,,0.4,,,,,,,,,,,,False,,diagonal,gaussian,
rbig,25.0,300.0,0.0,0.0361250117148349,0.4728611248770017,1.0,0.9711444548002088,,1.2,,,,,,,,,,,,,,,,random
gan,,,0.2670223576605184,0.6369534672685236,2.527170161100768,1.0,0.186246839497872,,382.3,8.0,1500.0,32.0,64x128x64,64x32,0.0003,2.0,,,,,,,,,
noise,,,0.3816323732288473,15.229807527598112,1.3865087099842468,1.0,20.460011266622,,0.4,,,,,,,,0.229,False,normal,0.0,,,,,
gaussian,,,0.0081740138489321,0.0393366138237056,0.6674592561914794,1.0,1.0933189576809863,,0.4,,,,,,,,,,,,False,0.25066,diagonal,rank_gauss,
rbig,30.0,800.0,0.0,0.0343677243661857,0.4717929571954369,1.0,0.9869708805555618,,1.5,,,,,,,,,,,,,,,,random
gan,,,0.0447197502122302,0.3293266989754402,1.6386433078351017,1.0,0.6868761805234691,,67.6,32.0,500.0,32.0,32x32,16x8,0.0005,1.0,,,,,,,,,
noise,,,0.0,0.0284690761301041,0.3210470022460844,1.0,1.0643721291944648,,0.4,,,,,,,,0.0517,True,normal,0.0,,,,,
