family,sigma,relative,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,n_iters,grid_size,noise_dist,df,shrinkage_alpha,shrinkage_target,marginal,rotation,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g
noise,0.05,True,0.0,0.0325457540883223,0.3646728229449607,1.0,1.072505761157302,0.0,0.6,,,,,,,,,,,,,,,,
gaussian,,,0.0534418691789527,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0016802204266793,0.6,False,,,,,,,,,,,,,,,
rbig,,,0.0010820891123622,0.0719517485300534,0.6511211053147599,1.0,1.0457087843498971,0.000911139718715,1.3,,10.0,200.0,,,,,,,,,,,,,
noise,0.02,True,0.0,0.0321572081403905,0.365592426724397,1.0,1.0713331268976336,0.0,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.051298689443024,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.004008395733119,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0006128707716154,0.0464204663407979,0.5488452455331239,1.0,0.9556874577450772,0.0001687899653588,1.7,,15.0,200.0,,,,,,,,,,,,,
noise,0.01,False,0.1185446490031351,0.4484258533407843,0.6095750456775739,1.0,1.5172983389404626,0.0024098376057132,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0522246283342223,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0032399024696831,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0025898937664455,0.0884907303804837,0.7682837956656338,1.0,1.1345900316950468,0.0014114387157631,0.9,,5.0,600.0,,,,,,,,,,,,,
noise,0.3,False,0.3813234296233065,20.05748955931103,1.3921240331841729,1.0,26.686016520274627,0.0006094388052656,0.6,,,,,,,,,,,,,,,,
gaussian,,,0.0499154497089769,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0049476018724264,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0004313838302862,0.0402814754906693,0.4267452147970503,1.0,0.9803479417358514,0.0005972535606858,4.7,,60.0,100.0,,,,,,,,,,,,,
noise,0.5,True,0.0194089870139511,0.1655105031360488,0.443157532213995,1.0,1.1985912427353451,0.0018717510892276,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0540911781453207,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0004677731776087,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0001507388670644,0.0324621295747423,0.4297410109625244,1.0,0.973687948880708,0.0002131769501792,2.7,,30.0,600.0,,,,,,,,,,,,,
