modelo,mae_log,rmse_log,r2_log,corr,qlike,mz_const,mz_pendiente,arquitectura,generador,pct_objetivo,n_train,pct_synth,qlike_std_semillas,dm_vs_har,dm_pvalor
b1_ingenuo,0.36028972268104553,0.45059719681739807,-0.16403641011167625,0.41730838665373843,0.5223206877708435,-2.5394049138608428,0.41779511093661303,,,,,,,9.126523791381631,0.0
b2_constante,0.3287383019924164,0.4226558208465576,-0.024149348459086895,0.06514478118763362,0.441045880317688,-3.1404865231286636,0.2794706987559655,,,,,,,3.2473567827135206,0.0011648227066851646
b3_har,0.2955576403089177,0.3711985637990028,0.210045319534107,0.46455582705468457,0.3447992450464827,-0.6036816505254574,0.8630796771013334,,,,,,,,
pool_1_solo_reales_000,0.3405146300792694,0.4355604946613312,-0.08764355354245978,0.06937245294302914,0.38095030188560486,-3.3422802232103823,0.23830800190615908,pool,1_solo_reales,0.0,252.0,0.0,0.0005070935079819727,3.4867964922429926,0.0004888431880485378
pool_noise_025,0.3386264741420746,0.43286386132240295,-0.07421761168207475,0.08087373728676543,0.3881089985370636,-3.2124993598907,0.2679039749956037,pool,noise,0.25,336.0,0.25,0.0061203578187612965,3.436022469974132,0.0005903220097711603
pool_noise_050,0.34917885065078735,0.444038063287735,-0.13039434344546863,0.06422776747006549,0.38669833540916443,-3.524606031898648,0.19657096343499533,pool,noise,0.5,504.0,0.5,0.004761103207843958,3.7530865708336876,0.00017467049908348464
pool_noise_075,0.34361520409584045,0.43930578231811523,-0.10642867468386674,0.024939066882509416,0.37958651781082153,-3.913068784447836,0.10517669249498723,pool,noise,0.75,1008.0,0.75,0.0013841019477456467,3.532596580768462,0.0004114998867734698
pool_noise_090,0.3325303792953491,0.42876455187797546,-0.05396787154123439,0.020670950851737088,0.42408040165901184,-3.997704368157096,0.08371335610317023,pool,noise,0.9,2520.0,0.9,0.012572798337232896,3.428591967665544,0.0006067209344957636
pool_noise_100,0.33208218216896057,0.4254492521286011,-0.03773177945586759,0.05043787593863829,0.4162680208683014,-3.440473665167142,0.21253077409729426,pool,noise,1.0,6536.0,1.0,0.0004869390631505119,3.301465822137576,0.0009618105213955452
flatten_1_solo_reales_000,0.3416936695575714,0.43637681007385254,-0.09172420281175642,0.07280163787044024,0.37832286953926086,-3.2899085177557215,0.25093171851863244,flatten,1_solo_reales,0.0,252.0,0.0,0.0019594457522479443,3.4923405913484236,0.00047880729396476696
flatten_noise_025,0.33915355801582336,0.4332728087902069,-0.07624829915583065,0.09127223894938515,0.38752344250679016,-3.1391667065860807,0.28503226755362093,flatten,noise,0.25,336.0,0.25,0.002770902849702387,3.4980417792506993,0.00046868770585017927
flatten_noise_050,0.34995874762535095,0.44507408142089844,-0.13567539288639852,0.06211795139661879,0.40642401576042175,-3.6494019925352266,0.16642600735012372,flatten,noise,0.5,504.0,0.5,0.022092264397480896,3.6832244236942326,0.0002303022333991489
flatten_noise_075,0.3299046754837036,0.4225873351097107,-0.023817554776934147,0.11753799086000208,0.409385085105896,-2.6863380414752105,0.385876869405714,flatten,noise,0.75,1008.0,0.75,0.05101086982314217,4.1341463329358294,3.562764267206475e-05
flatten_noise_090,0.3269864618778229,0.41971585154533386,-0.009951056990039397,0.14478290664698112,0.39467301964759827,-2.285529060284078,0.47951042393530174,flatten,noise,0.9,2520.0,0.9,0.010891979945357528,3.656349261965782,0.00025583273437113085
flatten_noise_100,0.33208218216896057,0.4254492521286011,-0.03773177945586759,0.05043787593863829,0.4162680208683014,-3.440473665167142,0.21253077409729426,flatten,noise,1.0,6536.0,1.0,0.0004869390631505119,3.301465822137576,0.0009618105213955452
pool_gaussian_025,0.33900463581085205,0.43334776163101196,-0.07662070658745845,0.07701411097044315,0.3870387375354767,-3.255783641530706,0.25791191284999954,pool,gaussian,0.25,336.0,0.25,0.006054497403112225,3.4640483998268454,0.0005321107618523335
pool_gaussian_050,0.3504742681980133,0.4454807937145233,-0.1377518568743934,0.06850382945313124,0.38617292046546936,-3.499890997228332,0.20253730988521532,pool,gaussian,0.5,504.0,0.5,0.0042241137287573885,3.7752729901268207,0.0001598325259253297
pool_gaussian_075,0.34477129578590393,0.4398968815803528,-0.1094081635931008,0.0493379445522401,0.37600022554397583,-3.5595891247961804,0.1883849022292317,pool,gaussian,0.75,1008.0,0.75,0.00458802017699864,3.505469570175529,0.00045580260192346067
pool_gaussian_090,0.34843286871910095,0.4457522928714752,-0.13913903440236974,-0.019298890125015313,0.40286070108413696,-4.657332641661804,-0.06951278479128609,pool,gaussian,0.9,2520.0,0.9,0.012811491323938193,3.9966863262003725,6.423532556509848e-05
pool_gaussian_100,0.33208218216896057,0.4254492521286011,-0.03773177945586759,0.05043787593863829,0.4162680208683014,-3.440473665167142,0.21253077409729426,pool,gaussian,1.0,6536.0,1.0,0.0004869390631505119,3.301465822137576,0.0009618105213955452
flatten_gaussian_025,0.33893170952796936,0.4324916899204254,-0.07237117754633293,0.0937494465645806,0.38235899806022644,-3.0607850328521424,0.30354097461567575,flatten,gaussian,0.25,336.0,0.25,0.0017559282940804537,3.4846373357388885,0.0004928044891334693
flatten_gaussian_050,0.35154804587364197,0.4453858733177185,-0.1372671306271267,0.05884962148775755,0.4056132435798645,-3.676838009488449,0.16010776102425625,flatten,gaussian,0.5,504.0,0.5,0.02905782901702583,3.91975209555676,8.864009918485571e-05
flatten_gaussian_075,0.32952773571014404,0.421681672334671,-0.01943379385195021,0.14375800244367717,0.3953101933002472,-2.4348783149787887,0.4454761762029647,flatten,gaussian,0.75,1008.0,0.75,0.036742263214486516,3.8944640226914777,9.841609677940788e-05
flatten_gaussian_090,0.33483651280403137,0.4283883571624756,-0.05211914284337538,0.1139062942758812,0.38142284750938416,-2.7492533493131677,0.3757062287306469,flatten,gaussian,0.9,2520.0,0.9,0.005685546431370166,3.7844015671235844,0.00015407887293239497
flatten_gaussian_100,0.33208218216896057,0.4254492521286011,-0.03773177945586759,0.05043787593863829,0.4162680208683014,-3.440473665167142,0.21253077409729426,flatten,gaussian,1.0,6536.0,1.0,0.0004869390631505119,3.301465822137576,0.0009618105213955452
pool_rbig_025,0.33871492743492126,0.4330945611000061,-0.07536294236289409,0.07866385771931214,0.38756588101387024,-3.2378780029690954,0.262021925141973,pool,rbig,0.25,336.0,0.25,0.005152765880476628,3.4500304350783124,0.0005605233566052803
pool_rbig_050,0.3504428565502167,0.4453067183494568,-0.13686294351017514,0.06593160941163535,0.38324466347694397,-3.5002882163939137,0.2025990775959568,pool,rbig,0.5,504.0,0.5,0.00360787590766993,3.7727948892662537,0.0001614289939599889
pool_rbig_075,0.342999130487442,0.4381408095359802,-0.10056836303644001,0.04500028443190323,0.3738037645816803,-3.564632234362764,0.187117133918422,pool,rbig,0.75,1008.0,0.75,0.006642063217544092,3.409600449024775,0.0006505811486012814
pool_rbig_090,0.33133047819137573,0.427382230758667,-0.04718285136056055,0.039606457066538696,0.45462462306022644,-3.6937019134409304,0.15266898871130566,pool,rbig,0.9,2520.0,0.9,0.014775558699133048,3.6996051778770647,0.00021593513736339887
pool_rbig_100,0.33208218216896057,0.4254492521286011,-0.03773177945586759,0.05043787593863829,0.4162680208683014,-3.440473665167142,0.21253077409729426,pool,rbig,1.0,6536.0,1.0,0.0004869390631505119,3.301465822137576,0.0009618105213955452
flatten_rbig_025,0.33937788009643555,0.4334906339645386,-0.07733075883463769,0.09087630247715879,0.3877270221710205,-3.145891587783335,0.2835155730143441,flatten,rbig,0.25,336.0,0.25,0.0002556622322408238,3.554729139948801,0.00037836865617757454
flatten_rbig_050,0.3508734703063965,0.4455230236053467,-0.13796766044151965,0.07998726345554022,0.3946118652820587,-3.4567216822037214,0.21212816769979176,flatten,rbig,0.5,504.0,0.5,0.015003415596621697,3.693692402636154,0.00022102113672550772
flatten_rbig_075,0.3278445303440094,0.419312059879303,-0.008008710157797028,0.15742306567655198,0.42627382278442383,-2.332689498841388,0.46505436334444405,flatten,rbig,0.75,1008.0,0.75,0.028848608267697848,4.55237326285579,5.3044115819744775e-06
flatten_rbig_090,0.3294903337955475,0.42402225732803345,-0.030782124443281766,0.1031072274202696,0.42124247550964355,-2.876302865828635,0.3418876227275881,flatten,rbig,0.9,2520.0,0.9,0.02122555994534748,3.835574166867813,0.00012527129501838097
flatten_rbig_100,0.33208218216896057,0.4254492521286011,-0.03773177945586759,0.05043787593863829,0.4162680208683014,-3.440473665167142,0.21253077409729426,flatten,rbig,1.0,6536.0,1.0,0.0004869390631505119,3.301465822137576,0.0009618105213955452
pool_gan_025,0.3390037417411804,0.4334265887737274,-0.07701238834087087,0.07650909097124399,0.38579878211021423,-3.2528846423894695,0.2586802350721018,pool,gan,0.25,336.0,0.25,0.0048476146739794695,3.445591082535903,0.0005698119013621827
pool_gan_050,0.35113072395324707,0.4465070962905884,-0.14300032353325842,0.06309503486099477,0.3848361074924469,-3.5578372125291353,0.18904436042735606,pool,gan,0.5,504.0,0.5,0.004726760764907373,3.816109106988143,0.00013557257485397045
pool_gan_075,0.3480274975299835,0.44343870878219604,-0.12734487039165887,0.045278928923715246,0.3714480400085449,-3.5844246205030124,0.1832578283507722,pool,gan,0.75,1008.0,0.75,0.0025925408180514312,3.6936030107487112,0.00022109888506349762
pool_gan_090,0.3464609980583191,0.4432382583618164,-0.1263258553553932,-0.0028685300697535655,0.40149417519569397,-4.404771914333117,-0.010302226155090603,pool,gan,0.9,2520.0,0.9,0.021329124918244118,3.9260051018475757,8.636832416542006e-05
pool_gan_100,0.33208218216896057,0.4254492521286011,-0.03773177945586759,0.05043787593863829,0.4162680208683014,-3.440473665167142,0.21253077409729426,pool,gan,1.0,6536.0,1.0,0.0004869390631505119,3.301465822137576,0.0009618105213955452
flatten_gan_025,0.33637815713882446,0.4295274317264557,-0.05772177516503629,0.11089670246670377,0.38769814372062683,-2.8881443303415004,0.3428767183435069,flatten,gan,0.25,336.0,0.25,0.013194260598602922,3.6921989881189603,0.00022232340330208267
flatten_gan_050,0.34891626238822937,0.44195640087127686,-0.11982054229681083,0.07567517210796598,0.4132363498210907,-3.5209307287999763,0.19578012781748771,flatten,gan,0.5,504.0,0.5,0.018958857295617387,3.977145792170525,6.974740551313197e-05
flatten_gan_075,0.33001911640167236,0.42119845747947693,-0.017098847441448406,0.15037008293395449,0.42406994104385376,-2.485462608308067,0.4305659458083151,flatten,gan,0.75,1008.0,0.75,0.03550897875043864,4.696069125535243,2.6521582032756896e-06
flatten_gan_090,0.33616575598716736,0.4319312870502472,-0.06959395428773352,0.04921266166000053,0.40321505069732666,-3.600072756841087,0.17680877988907975,flatten,gan,0.9,2520.0,0.9,0.015536642143406797,3.8257340476061334,0.0001303829922034705
flatten_gan_100,0.33208218216896057,0.4254492521286011,-0.03773177945586759,0.05043787593863829,0.4162680208683014,-3.440473665167142,0.21253077409729426,flatten,gan,1.0,6536.0,1.0,0.0004869390631505119,3.301465822137576,0.0009618105213955452
